,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
2062,19294148,"Borgo 11,  luminoso appartamento a Bologna",135109663,Anna Pasqualina,,Santo Stefano,44.499667578676586,11.348539228735234,Entire home/apt,80,2,8,2017-10-23,0.58,1,302,Irnerio
2063,19318992,Doris' home,40559992,Noemi,,Porto - Saragozza,44.489702156811745,11.331657181924395,Entire home/apt,21,2,55,2018-07-31,3.86,1,53,Malpighi
2064,19332482,Sgarauella Cesare Battisti Central Apartment,135425612,Matteo,,Porto - Saragozza,44.492048529021254,11.337983960700132,Entire home/apt,80,2,1,2018-04-02,0.2,2,360,Malpighi
2065,19340004,Charming apartment in the Bolognina area (Fiera),7606978,Edith,,Navile,44.51266239411917,11.346449588632307,Entire home/apt,44,3,38,2018-08-23,3.3,1,97,Bolognina
2066,19345158,"Casa San Gervasio, in the very center of Bologna",135542433,Francesca,,Porto - Saragozza,44.496965002962725,11.338268734666894,Entire home/apt,65,5,23,2018-07-14,1.64,1,301,Marconi
2067,19355002,bright&silent apartment near two towers,28912207,Roberto,,Santo Stefano,44.49417504437773,11.350844839076936,Entire home/apt,100,4,1,2017-12-24,0.12,1,323,Irnerio
2068,19362544,"Borgo Orfeo, Asinelli tower view from our altana",40871462,Michela,,Santo Stefano,44.48802404328139,11.348473462521632,Entire home/apt,69,2,26,2018-07-22,2.08,2,116,Galvani
2069,19376637,"Open space studio, central and cozy!",80005310,Michele,,Santo Stefano,44.488867221941405,11.351034067432312,Entire home/apt,59,2,10,2018-08-26,0.74,11,149,Galvani
2070,19376818,N22 INDIPENDENZA,131880327,Giuseppe,,Porto - Saragozza,44.49839407495314,11.342031149300954,Entire home/apt,160,2,37,2018-08-08,2.88,1,323,Marconi
2071,19379157,B&B All'angolo,135835629,Elena,,Savena,44.46937011747372,11.374347312227364,Entire home/apt,40,1,15,2018-04-29,1.06,1,52,S. Ruffillo
2072,19384724,Isola sottocolle,4207114,Giulia,,Porto - Saragozza,44.493428762172705,11.318972024742315,Entire home/apt,55,1,6,2018-03-31,0.53,1,55,Costa Saragozza
2073,19399403,Pure and Modern Design IN THE HEART OF THE CITY,97298944,Silvia,,Porto - Saragozza,44.49664659222192,11.337039939104054,Entire home/apt,95,3,0,,,4,288,Marconi
2074,19406216,Residenza Villa Mini,136044382,Ambra & Guido,,Navile,44.54622232491293,11.34869884242853,Entire home/apt,60,1,60,2018-08-13,4.28,1,156,Lame
2075,19409234,Chic House - apartment close to Piazza Maggiore,136071558,Vito,,Santo Stefano,44.4938231812405,11.346062474317485,Entire home/apt,85,2,40,2018-08-19,2.82,1,314,Irnerio
2076,19419134,Appartamento Stazione Centrale,24852094,Callisto,,Porto - Saragozza,44.506225750109614,11.341971298109412,Entire home/apt,35,2,2,2018-07-17,1.2,8,11,Bolognina
2077,19428459,Luca's Garden Free WiFi & Parking 2,4633637,Maria,,Santo Stefano,44.48254363278887,11.346155585269742,Entire home/apt,50,3,24,2018-07-30,3.26,1,146,Colli
2078,19429883,Modern 1bdr w/balcony in the city centre 81466,5056483,Bettina,,Porto - Saragozza,44.50089438768622,11.339678487364587,Entire home/apt,161,3,1,2018-07-01,0.51,66,152,Marconi
2079,19430937,Ad Domus Ex Studio,123395630,Renza,,Santo Stefano,44.50088947240285,11.34939607467947,Private room,26,2,6,2018-02-11,0.47,4,149,Irnerio
2080,19446341,I 4 GATTI Bologna Guesthouse. Double room,5234186,Filippo,,Porto - Saragozza,44.490798595412855,11.326953327514449,Private room,50,1,2,2018-04-30,0.37,6,173,Costa Saragozza
2081,19448764,Garden Loft by Holiplanet,35128982,Andrea,,Santo Stefano,44.500620884824066,11.351214713758216,Entire home/apt,79,1,9,2017-09-26,0.64,4,65,Irnerio
2082,19450912,Magnifico monolocale con soffitti decorati,86642341,Francesca,,Santo Stefano,44.490714086662294,11.352039324441893,Entire home/apt,120,3,0,,,7,234,Galvani
2083,19451307,San Domenico Prestigious Apartment,89067449,Marco,,Santo Stefano,44.48879365222938,11.340891314105495,Entire home/apt,66,2,37,2018-08-20,2.66,11,44,Malpighi
2084,19463387,Pratello's roof,135052960,Teresa,,Porto - Saragozza,44.49464031471576,11.330385944280412,Entire home/apt,49,1,77,2018-08-17,5.46,1,118,Malpighi
2085,19466663,Red Roof Studio,136394427,Giacomo,,Santo Stefano,44.490524764735724,11.355527465600124,Entire home/apt,68,3,4,2018-04-29,0.34,1,262,Irnerio
